NOME,RUA,NUMERO,BAIRRO,CIDADE,CEP,LATITUDE,LONGITUDE,CNPJ,PRECO MEDIO,VALOR MINIMO,CATEGORIA,AVALIACAO,TEMPO ENTREGA,VALOR ORIGINAL,SUPER RESTAURANTE
Sabor Brasil,Rua Laguna,415,Chácara Águas da Pedra,ITAQUAQUECETUBA,08593400,-23.475861,-46.285031,58963391000120,$,15,Brasileira,5.0,0,,NÃO
Boutique dos Bolos  e Doces,Rua Barueri,8,Vila Passalacqua,ITAQUAQUECETUBA,08577340,-23.48215,-46.367792,54534510000178,$,20,Doces & Bolos,0.0,45,6.99,NÃO
Têmpero da Alma,Rua Carlos Mariguela,24,Conjunto Habitacional Jardim Odete II,ITAQUAQUECETUBA,08598451,-23.469065,-46.32387,,$,35,Marmita,0.0,49,10.99,NÃO
Carvão BBQ – Hambúrguer Artesanal & Defumados na Brasa,R. Tibagi,129,Vila Ursulina,ITAQUAQUECETUBA,08574290,-23.503419,-46.350605,62413627000121,$,35,Lanches,4.5,46,7.99,NÃO
Sempre Doce ,Avenida Córrego Três Pontes,29,Itaim Paulista,SAO PAULO,08111300,-23.489442,-46.374269,61669061000130,$,12,Brasileira,0.0,20,2,NÃO
adega e lanchonete L.C,Rua das Flores Lindas,30,Parque Viviane II,ITAQUAQUECETUBA,08582862,-23.454955,-46.363418,57441138000143,$,15,Lanches,0.0,49,10.99,NÃO
Açaí e Burger Street ,Avenida Vereador João Fernandes da Silva,1660,Vila Virgínia,ITAQUAQUECETUBA,08576000,-23.493855,-46.35694,48948799000179,$,10,Açaí,0.0,43,4.99,NÃO
Gil Sabores Bolos,Praça William Alexandro Dias Vaz,347,Conjunto Habitacional Inácio Monteiro,JARDIM,08490004,-23.564908,-46.404671,40242110000184,$,20,Doces & Bolos,4.9,0,,NÃO
Bar do Peixe !!! o Original,Rua Piracicaba,1027,Vila Monte Belo,ITAQUAQUECETUBA,08577290,-23.487888,-46.362504,30444835000100,$,10,Frutos Do Mar,0.0,44,6.99,NÃO
Ice Clim Mix 3,Rua Major Benjamin Franco,555,Jardim Vitória,ARUJA,07400165,-23.396446,-46.329611,51865606000120,$,10,Açaí,0.0,0,,NÃO
Rei do Baião Restaurante,RUA SILVA TELES,399,JARDIM SAO MANOEL,ITAQUAQUECETUBA,08580630,-23.45628,-46.34665,57595826000168,$,35,Brasileira,4.2,112,0,NÃO
Açai & Sorvetes Nagai Sorvesan,Avenida Brasil,830,Vila Correa,FERRAZ DE VASCONCELOS,08501000,-23.537668,-46.363066,11828172000174,$$,20,Açaí,4.9,0,,NÃO
Gela Goela Geladinho Gourmet,Rua Piauí,475,Vila Miranda,ITAQUAQUECETUBA,08572510,-23.500024,-46.345049,52372684000156,$,20,Sorvetes,0.0,46,7.99,NÃO
Batata do Nova ,Rua Cícera Adriana Oliveira Cruz,10,Jardim Nova Cidade,GUARULHOS,07252510,-23.445279,-46.407361,50913773000137,$,20,Lanches,4.8,0,,NÃO
Msy Lanches,Rua Guaíra,199,Jardim Santa Helena,ITAQUAQUECETUBA,08570790,-23.483184,-46.358218,,$,30,Lanches,0.0,43,4.99,NÃO
la casa do cuscuz ,Rua das Flores,183,Jardim Tropical,ITAQUAQUECETUBA,08596270,-23.454755,-46.36311,,$,15,Brasileira,0.0,49,10.99,NÃO
L&n Chocolates - Doces e Salgados,Rua Lago Verde,49,Parque das Nacoes,GUARULHOS,07243270,-23.441456,-46.411938,63446153000187,$,10,Doces & Bolos,5.0,0,,NÃO
Rf Burguer's,Rua Poá,87,Jardim Valparaíso,ITAQUAQUECETUBA,08577840,-23.493447,-46.361813,54237393000180,$,20,Lanches,0.0,46,7.99,NÃO
Brigé Confeitaria,Av. dos Expedicionários,681,Jardim Rincao,ARUJA,07400460,-23.397893,-46.321723,51093013000193,$,10,Doces & Bolos,4.6,0,,NÃO
Avines Açai,R. Maringá,95,Vila Ursulina,ITAQUAQUECETUBA,08574310,-23.502739,-46.350652,55250882000135,$,10,Açaí,0.0,46,7.99,NÃO
Meu Hamburguer no Pedaço,Rua Edgard Roquette Pinto,56,Jardim Moraes,ITAQUAQUECETUBA,08597712,-23.4603,-46.30906,57303743000158,$,20,Lanches,0.0,75,8,NÃO
Delícias da Thiti,Rua 20 de Novembro,589,Quinta da Boa Vista (Residencial),ITAQUAQUECETUBA,08597057,-23.457589,-46.320046,59888587000160,$,10,Brasileira,0.0,51,11.99,NÃO
Mv Salgados e Doces,Rua Fernandes Prestes,18,Parque Residencial Scaffid II,ITAQUAQUECETUBA,08587788,-23.430885,-46.30532,40649954000144,$,18,Salgados,0.0,0,,NÃO
Doceria Pérola de Açúcar,Rua Silva Lisboa,4,Jardim Luciana,ITAQUAQUECETUBA,08575725,-23.503716,-46.356893,,$,15,Doces & Bolos,0.0,47,7.99,NÃO
Adega Majestic,Estrada Municipal do Mandi,1535,mandi,ITAQUAQUECETUBA,08596000,-23.473926,-46.32624,55719022000106,$,20,Brasileira,5.0,54,10.99,NÃO
Bolicos,Rua Cana Verde,11,Jardim Silvestre,ITAQUAQUECETUBA,08584420,-23.427271,-46.325945,,$,10,Doces & Bolos,0.0,0,,NÃO
Doces Delicia,Rua Canadá,306,Jardim Americano,ITAQUAQUECETUBA,08598760,-23.47112,-46.325287,50697170000145,$,20,Doces & Bolos,0.0,49,10.99,NÃO
Restaurante Comida Caseira da Ni,Rua Geraldo Ferreira de Lima,152,Jardim Nápoli,ITAQUAQUECETUBA,08595440,-23.469905,-46.301428,53161539000199,$,20,Brasileira,0.0,0,,NÃO
Lauanne's Burguer,Rua José Nasser Filho,60,Vila Pedroso,ARUJA,07434305,-23.412276,-46.321024,09176164000149,$,20,Lanches,4.9,0,,NÃO
"Alex's açaí, sorvetes, bebidas, doces e salgados ",Avenida Turmalina,135,Estância Fraternidade,ITAQUAQUECETUBA,08589000,-23.43372,-46.29852,34516246000132,$,10,Açaí,4.6,0,,NÃO
Mestiço  Casa do Lanches,R. 20 de Novembro,521,Quinta da Boa Vista (Residencial),ITAQUAQUECETUBA,08597057,-23.460217,-46.320401,48686178000164,$,10,Lanches,0.0,50,10.99,NÃO
Brasa Chopp,Rua Guilherme Garijo,1030,Jardim Santa Inês,SUZANO,08695010,-23.491816,-46.28565,30207024000187,$,12,Brasileira,4.4,0,,NÃO
Dona Dolar - Lanches e Salgados,Rua dos Estudantes,346,Jardim Itaquá,ITAQUAQUECETUBA,08580130,-23.450475,-46.344599,41650372000140,$,25,Salgados,0.0,50,10.99,NÃO
Padaria Lorraine e Bruna,Rua Café,568,Parque das Nações,GUARULHOS,07243240,-23.437637,-46.412913,03585177000195,$,15,Padaria,4.8,0,,NÃO
Pizzaria do Inácio Delivery,Rua Nazaré Paulista,15,Jardim Joandra,ITAQUAQUECETUBA,08571170,-23.494266,-46.337681,36740375000135,$,37,Pizza,0.0,40,0,NÃO
Hot Dog e Hamburgue Artesanal,Rua Tocantins,9,Jardim Amazonas,ITAQUAQUECETUBA,08591689,-23.4506,-46.301059,51890008000101,$,10,Lanches,0.0,0,,NÃO
San Delivery,RUA POTIGUARA,174,PARQUE JUREMA,GUARULHOS,07244120,-23.44874,-46.41579,23512955000123,$$$,0,Japonesa,4.9,0,,NÃO
Lary Burguer's,Avenida Itaim Paulista,98,Jardim do Vale,ITAQUAQUECETUBA,08595550,-23.472436,-46.304378,60559720000113,$,20,Lanches,0.0,0,,NÃO
Queen Burger Lanches,Rua Silvia Teles,415,Jardim São Manoel,ITAQUAQUECETUBA,08580550,-23.455885,-46.346492,50463989000148,$,10,Lanches,0.0,49,10.99,NÃO
Rei do Mocotó Restaurante Almoço e Janta,Estrada alberto hinoto,1500,Vila Zeferina,ITAQUAQUECETUBA,08576015,-23.481643,-46.353502,50842325000190,$,10,Brasileira,4.0,35,5,NÃO
Açaíteria Área 51 - Itaim Paulista,Avenida Barão de Alagoas,480,Itaim Paulista,SAO PAULO,08120000,-23.49944,-46.394515,52415000000156,$,10,Açaí,4.9,69,11.99,NÃO
Bate Papo,Avenida Uberaba,196,Vila Virgínia,ITAQUAQUECETUBA,08573070,-23.487935,-46.350155,44780695000147,$,20,Lanches,5.0,41,4.99,NÃO
Marmitex do Lobão,Rua Panambi,119,Jardim Coqueiro,ITAQUAQUECETUBA,08582620,-23.45156,-46.363378,57241650000146,$,23,Marmita,0.0,0,,NÃO
Hortifruti Moreno,Rua Piracicaba,243,Vila Monte Belo,ITAQUAQUECETUBA,08577290,-23.480937,-46.366343,39811528000186,$,10,Brasileira,0.0,45,6.99,NÃO
Zen Açaí,RUA RODRIGUES ALVES,26,CENTRO,ARUJA,07400575,-23.39633,-46.323715,06160678000118,$,10,Açaí,4.6,0,,NÃO
Empadas Lubi,Rua Panorama Dois,36,Jardim Maragogipe,ITAQUAQUECETUBA,08580385,-23.451595,-46.337679,48172122000191,$,20,Salgados,0.0,51,11.99,NÃO
Choco Doce Açai e Hot Dog,Estrada do sacramento,1958,Tupinambá,GUARULHOS,07263000,-23.463848,-46.397402,57326578000150,$,16,Açaí,0.0,0,,NÃO
"Oxi, Açaí Premium",Rua Ituiutaba,93,Vila Virgínia,ITAQUAQUECETUBA,08573260,-23.496883,-46.355037,60421719000128,$,10,Açaí,0.0,44,6.99,NÃO
Heitorô Sushi,Rua Pereira Barreto,103,Jardim Amanda Caiubi,ITAQUAQUECETUBA,08587130,-23.434541,-46.316578,50315967000130,$,50,Japonesa,0.0,0,,NÃO
Restaurante e Lanchonete Lima,AV BRASIL,1166,CALMON VIANA,POA,08560010,-23.525482,-46.333374,33853787000193,$$,10,Brasileira,4.8,37,15.99,NÃO
Rock Dog Aruja,Rua Silvina de Camargo,0,Vila Lima,ARUJA,07402135,-23.397265,-46.318958,37258764000191,$$,20,Lanches,4.9,0,,NÃO
Docesesobremesasj_a Geladinhos Gourmet e Outras Sobremesas,Rua Seis,351,Jardim Silvestre,GUARULHOS,07243161,-23.441597,-46.415069,62367666000130,$,6,Doces & Bolos,5.0,0,,NÃO
Tia tata batata e doces,Rua Concórdia,31,Jardim Nascente,ITAQUAQUECETUBA,08588140,-23.436674,-46.3214,37721882000194,$,11,Doces & Bolos,0.0,0,,NÃO
